train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
108998,0.002375807147473097,-320.7445068359375,99,546,0.0624898262321949,150.0,364,54600,438.52659862
110198,0.0024285970721393824,-319.94708251953125,99,552,0.06663256138563156,150.0,368,55200,438.70808426
111398,0.002372430171817541,-320.0972900390625,99,558,0.06558453291654587,150.0,372,55800,439.1860755300001
112598,0.0024014937225729227,-319.92578125,99,564,0.07292234897613525,150.0,376,56400,440.28718864
113798,0.00235388264991343,-320.1017150878906,99,570,0.06907439231872559,150.0,380,57000,441.09072719000005
114998,0.0023055197671055794,-320.0050048828125,99,576,0.0646255761384964,150.0,384,57600,441.67777540999987
116198,0.0022834420669823885,-319.9140930175781,99,582,0.06120751425623894,150.0,388,58200,441.6364525600001
117398,0.0022636873181909323,-319.868408203125,99,588,0.06064077839255333,150.0,392,58800,442.36787224
118598,0.002297681523486972,-319.9173583984375,99,594,0.0623629055917263,150.0,396,59400,442.77306840999995
119798,0.002362369792535901,-319.81512451171875,99,600,0.06042095273733139,150.0,400,60000,443.63385229
120998,0.0023472674656659365,-319.7520751953125,99,606,0.0636635273694992,150.0,404,60600,444.57778860999997
122198,0.0023420751094818115,-319.70208740234375,99,612,0.06415550410747528,150.0,408,61200,444.93492229
123398,0.002296649618074298,-319.8529052734375,99,618,0.05664188787341118,150.0,412,61800,445.61227472999997
124598,0.0023407500702887774,-320.0096740722656,99,624,0.06432661414146423,150.0,416,62400,445.8301728100001
125798,0.0023475773632526398,-319.9033203125,99,630,0.06781600415706635,150.0,420,63000,446.5220953
126998,0.0023394031450152397,-320.03240966796875,99,636,0.06294656544923782,150.0,424,63600,447.20224332000004
128198,0.0023368613328784704,-320.048583984375,99,642,0.06176094338297844,150.0,428,64200,448.27539807999995
129398,0.00239288411103189,-320.1148681640625,99,648,0.06253897398710251,150.0,432,64800,448.5562857000001
130598,0.0024239011108875275,-320.0926513671875,99,654,0.06529948115348816,150.0,436,65400,449.14416683
131798,0.0024132244288921356,-320.37066650390625,99,660,0.06374955922365189,150.0,440,66000,449.60311353
