time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
46768,0.03122672811150551,93334,-2025.787109375,296,158.0,18.14,0.011281979270279408,0.059099581092596054,5.0,-682.70918939,51,899
47400,0.027080535888671875,94598,-2030.38134765625,300,158.0,18.26,0.011060849763453007,0.062107816338539124,5.0,-683.0805311400001,51,911
48032,0.03186902403831482,95862,-2033.498779296875,304,158.0,18.65,0.010918383486568928,0.0620744526386261,5.0,-683.88239525,51,923
48664,0.0306917205452919,97126,-2038.219970703125,308,158.0,19.05,0.011373062618076801,0.06369516998529434,5.0,-685.0111456399999,51,935
49296,0.0300738662481308,98390,-2042.059814453125,312,158.0,19.29,0.011238472536206245,0.06452282518148422,5.0,-685.7515095800002,52,947
49928,0.02960103563964367,99654,-2044.3973388671875,316,158.0,19.19,0.0110339829698205,0.06434603780508041,5.0,-686.6416296500001,52,959
50560,0.038079358637332916,100918,-2048.10009765625,320,158.0,19.08,0.01122175995260477,0.07135763764381409,5.0,-686.8022881100001,52,971
51192,0.028263669461011887,102182,-2052.278564453125,324,158.0,19.11,0.011308742687106133,0.06352877616882324,5.0,-687.4276609299999,52,983
51824,0.03792528435587883,103446,-2055.59130859375,328,158.0,19.21,0.011558366939425468,0.07904591411352158,5.0,-687.77031968,52,995
52456,0.02761131525039673,104710,-2059.3232421875,332,158.0,19.07,0.011223644018173218,0.07541617006063461,5.0,-688.62235673,52,1007
53088,0.030722878873348236,105974,-2063.203857421875,336,158.0,18.71,0.011161744594573975,0.06535276025533676,5.0,-689.4385729000002,52,1019
53720,0.02809811197221279,107238,-2067.0185546875,340,158.0,18.87,0.010973788797855377,0.07391056418418884,5.0,-690.4254880399999,52,1031
54352,0.02768707275390625,108502,-2069.857421875,344,158.0,19.15,0.010979347862303257,0.07603482902050018,5.0,-691.0043304399999,52,1043
54984,0.029816441237926483,109766,-2071.361083984375,348,158.0,19.1,0.010783310979604721,0.09356806427240372,5.0,-691.6703316200001,52,1055
55616,0.02521345391869545,111030,-2076.06103515625,352,158.0,19.38,0.010783804580569267,0.07291245460510254,5.0,-691.6196809,52,1067
