time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
173360,0.001091162790544331,1884,1744.01829572,1146118,220,788.0,91,0.0077819908037781715,-224.2273712158203
176512,0.0010783392935991287,1915,1747.2378607500002,1152422,224,788.0,92,0.0070477379485964775,-226.59088134765625
179664,0.0011026713764294982,1946,1750.47303444,1158726,228,788.0,92,0.007052095141261816,-224.5443572998047
182816,0.0010963312815874815,1978,1753.4493951399993,1165030,232,788.0,92,0.006584593560546637,-227.59658813476562
185968,0.0011316774180158973,2010,1755.94679764,1171334,236,788.0,92,0.010560925118625164,-226.52420043945312
189120,0.0010835194261744618,2041,1759.0096227599997,1177638,240,788.0,92,0.006620835047215223,-226.5025634765625
192272,0.0010821319883689284,2073,1761.74961316,1183942,244,788.0,92,0.007556337397545576,-228.07630920410156
195424,0.0010846302611753345,2105,1764.2562214000002,1190246,248,788.0,92,0.006782315205782652,-227.0711669921875
198576,0.001121442997828126,2137,1766.4910303699999,1196550,252,788.0,92,0.006122543942183256,-228.30909729003906
201728,0.0011030363384634256,2168,1768.9232891499998,1202854,256,788.0,93,0.007630953565239906,-227.463134765625
204880,0.0010901299538090825,2200,1771.5194644599999,1209158,260,788.0,93,0.007239194121211767,-228.24502563476562
208032,0.0010772246168926358,2232,1774.07884192,1215462,264,788.0,93,0.007667405530810356,-229.94198608398438
211184,0.0010856593726202846,2264,1776.3329300399998,1221766,268,788.0,93,0.006628880277276039,-228.05020141601562
214336,0.0010861378395929933,2296,1778.70051813,1228070,272,788.0,93,0.007319221738725901,-228.98516845703125
217488,0.0010815185960382223,2328,1780.7732433499998,1234374,276,788.0,93,0.005945265293121338,-230.37718200683594
220640,0.001080575748346746,2359,1782.8416710099998,1240678,280,788.0,93,0.00722653791308403,-228.63168334960938
223792,0.0010902381036430597,2391,1785.07841858,1246982,284,788.0,93,0.006990338210016489,-231.18777465820312
226944,0.00108516460750252,2423,1787.18586557,1253286,288,788.0,93,0.008229738101363182,-228.79632568359375
230096,0.0010785768972709775,2454,1789.2735960000002,1259590,292,788.0,93,0.007281025871634483,-229.8433380126953
233248,0.0010814964771270752,2485,1791.7696806000004,1265894,296,788.0,93,0.006079534534364939,-230.2567138671875
236400,0.0010757673298940063,2517,1794.2469166900005,1272198,300,788.0,93,0.007762987166643143,-228.84457397460938
239552,0.001086175674572587,2549,1796.2822147999998,1278502,304,788.0,93,0.006481588818132877,-229.2802734375
242704,0.0010634508216753602,2580,1797.95061992,1284806,308,788.0,94,0.006063953973352909,-228.803955078125
245856,0.0011194758117198944,2612,1799.2442219799998,1291110,312,788.0,94,0.009623205289244652,-231.47308349609375
249008,0.0011092317290604115,2643,1800.7976144099998,1297414,316,788.0,94,0.005898994859308004,-231.10467529296875
252160,0.0010831985855475068,2674,1802.2461334400002,1303718,320,788.0,94,0.006172549445182085,-229.9739532470703
255312,0.001082071103155613,2705,1803.50286394,1310022,324,788.0,94,0.006239544600248337,-229.51409912109375
258464,0.0011282151099294424,2736,1804.7942398499997,1316326,328,788.0,94,0.008033818565309048,-230.529541015625
261616,0.0010859245667234063,2767,1805.7368396099998,1322630,332,788.0,94,0.0080037210136652,-231.44259643554688
264768,0.0011105340672656894,2799,1807.24112007,1328934,336,788.0,94,0.009320891462266445,-232.43165588378906
267920,0.0010780575685203075,2831,1808.4943332,1335238,340,788.0,94,0.010702082887291908,-230.86965942382812
271072,0.0010897900210693479,2862,1809.99972102,1341542,344,788.0,94,0.008217806927859783,-231.73590087890625
274224,0.0010707912733778358,2893,1811.3391499999998,1347846,348,788.0,94,0.0066910129971802235,-231.14483642578125
277376,0.0010746869957074523,2926,1812.93726917,1354150,352,788.0,94,0.006626402027904987,-232.08001708984375
280528,0.0010917071485891938,2957,1814.3445887100002,1360454,356,788.0,94,0.005063214804977179,-231.62841796875
283680,0.0010760684963315725,2988,1815.14420075,1366758,360,788.0,94,0.007598539814352989,-233.57786560058594
286832,0.0010610229801386595,3021,1815.82448135,1373062,364,788.0,94,0.005325611215084791,-231.6513214111328
289984,0.0010693804360926151,3053,1816.8629207000006,1379366,368,788.0,94,0.005776238162070513,-230.98362731933594
293136,0.0010874837171286345,3084,1817.7813645199997,1385670,372,788.0,95,0.005595190916210413,-232.306640625
296288,0.0010637844679877162,3117,1818.5900428500004,1391974,376,788.0,95,0.006135547533631325,-230.37765502929688
299440,0.0010957762133330107,3149,1819.56111643,1398278,380,788.0,95,0.00888647511601448,-232.022705078125
302592,0.0010712151415646076,3180,1820.26192633,1404582,384,788.0,95,0.006963861174881458,-232.90414428710938
305744,0.0010770387016236782,3213,1821.09921529,1410886,388,788.0,95,0.006433436647057533,-231.80470275878906
308896,0.0011284513166174293,3244,1821.05884966,1417190,392,788.0,95,0.01941421627998352,-231.45333862304688
312048,0.0010955363977700472,3276,1821.2186885,1423494,396,788.0,95,0.008775867521762848,-232.08226013183594
315200,0.0010898472974076867,3307,1821.8526710100004,1429798,400,788.0,95,0.007527799345552921,-231.6915283203125
318352,0.0010551895247772336,3338,1822.5696732500003,1436102,404,788.0,95,0.006089367438107729,-234.92660522460938
321504,0.001067439909093082,3369,1823.4881195599999,1442406,408,788.0,95,0.005733257159590721,-233.11972045898438
324656,0.0010546748526394367,3400,1824.7132635699998,1448710,412,788.0,95,0.005233052186667919,-233.2037811279297
327808,0.0010646404698491096,3432,1826.0373131799997,1455014,416,788.0,95,0.005243366584181786,-232.65557861328125
330960,0.0010693069780245423,3463,1827.1980840699998,1461318,420,788.0,95,0.006409990135580301,-233.49407958984375
334112,0.001083274488337338,3494,1828.2265001200003,1467622,424,788.0,95,0.005757820792496204,-231.7711639404297
337264,0.0010762737365439534,3526,1829.1822939599997,1473926,428,788.0,95,0.006356069818139076,-233.39617919921875
340416,0.0010595083003863692,3557,1830.3509958300003,1480230,432,788.0,95,0.0062532369047403336,-233.70037841796875
343568,0.0010675411904230714,3588,1831.5749115699998,1486534,436,788.0,95,0.006257404573261738,-233.7506561279297
346720,0.0010728217894211411,3620,1832.5170632999996,1492838,440,788.0,95,0.005125368479639292,-234.48092651367188
349872,0.001078488421626389,3651,1833.2502835699997,1499142,444,788.0,95,0.006447825580835342,-233.186767578125
353024,0.001067634322680533,3682,1833.98175198,1505446,448,788.0,95,0.004788362421095371,-231.14816284179688
356176,0.0010685465531423688,3714,1834.7358561499998,1511750,452,788.0,95,0.005384353455156088,-233.67620849609375
359328,0.0010759037686511874,3746,1835.6671526999999,1518054,456,788.0,95,0.005388142541050911,-233.72769165039062
362480,0.0010774485999718308,3777,1837.0068866599997,1524358,460,788.0,95,0.006060939747840166,-233.81832885742188
