time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,train/n_updates,train/ent_coef,rollout/ep_rew_mean
320424,-307.76800537109375,158.0,2028,99,0.018884293735027313,3215,640646,0.0016897714231163263,492.97845656
321056,-308.0086669921875,158.0,2032,99,0.017985966056585312,3221,641910,0.0016722070286050439,493.1631385900001
321688,-308.32513427734375,158.0,2036,99,0.019216002896428108,3227,643174,0.0016739406855776906,493.49886669000006
322320,-307.9906311035156,158.0,2040,99,0.017430255189538002,3234,644438,0.001676053274422884,493.6188675900001
322952,-308.10858154296875,158.0,2044,99,0.016503309831023216,3240,645702,0.001682471833191812,493.6550982
323584,-308.5184631347656,158.0,2048,99,0.01851654052734375,3246,646966,0.0016818084986880422,493.77237338
324216,-308.5948486328125,158.0,2052,99,0.018259014934301376,3252,648230,0.001674673636443913,493.74015812
324848,-308.874267578125,158.0,2056,99,0.022689271718263626,3258,649494,0.0016627460718154907,493.5375762499999
325480,-308.9674072265625,158.0,2060,99,0.020347489044070244,3265,650758,0.0016811838140711188,493.33640692000006
326112,-309.051513671875,158.0,2064,99,0.0183331910520792,3271,652022,0.0016757934354245663,493.25476990000004
326744,-309.26849365234375,158.0,2068,99,0.017799964174628258,3277,653286,0.0016638055676594377,493.1845629900001
327376,-309.37786865234375,158.0,2072,99,0.015215746127068996,3283,654550,0.001673596678301692,493.26864176
328008,-309.54150390625,158.0,2076,99,0.017107922583818436,3289,655814,0.0016519972123205662,493.2460601700001
328640,-309.9537048339844,158.0,2080,99,0.014379492029547691,3296,657078,0.0016698595136404037,493.30912747
329272,-309.7077941894531,158.0,2084,99,0.01681104116141796,3302,658342,0.0016616916982457042,493.3244368000001
329904,-309.9881286621094,158.0,2088,99,0.018336093053221703,3308,659606,0.0016609923914074898,493.37011128000006
330536,-309.9448547363281,158.0,2092,99,0.01512178499251604,3314,660870,0.0016562769887968898,493.44744996000003
331168,-310.34893798828125,158.0,2096,99,0.019916603341698647,3321,662134,0.0016513238660991192,493.3594700599999
331800,-310.203857421875,158.0,2100,99,0.017678843811154366,3327,663398,0.0016745569882914424,493.40507540000004
332432,-310.34222412109375,158.0,2104,99,0.035418663173913956,3333,664662,0.0017754114232957363,493.34185758000007
333064,-310.87750244140625,158.0,2108,99,0.04404384642839432,3339,665926,0.0017886008135974407,493.06857683999993
333696,-310.57586669921875,158.0,2112,99,0.025933153927326202,3345,667190,0.0017028531292453408,493.05686349
334328,-310.711669921875,158.0,2116,99,0.02915503829717636,3352,668454,0.0017004611436277628,493.48802926
334960,-310.8685302734375,158.0,2120,99,0.021388722583651543,3358,669718,0.0016987891867756844,493.5102718000001
335592,-310.9580078125,158.0,2124,99,0.021063262596726418,3364,670982,0.0016791808884590864,493.62262893
336224,-310.642822265625,158.0,2128,99,0.0175095796585083,3370,672246,0.0016554645262658596,493.65534564
336856,-311.135986328125,158.0,2132,99,0.01905004121363163,3376,673510,0.0016548505518585443,493.59669511000016
337488,-311.2601318359375,158.0,2136,99,0.017672762274742126,3383,674774,0.0016458415193483233,493.42605197000006
338120,-311.3465576171875,158.0,2140,99,0.018715305253863335,3389,676038,0.0016441072802990675,493.49013853
338752,-311.19464111328125,158.0,2144,99,0.019046371802687645,3395,677302,0.0016535718459635973,493.49985055999997
339384,-311.15106201171875,158.0,2148,99,0.01934775710105896,3401,678566,0.0016604791162535548,493.56057302
340016,-311.59918212890625,158.0,2152,99,0.01898275874555111,3407,679830,0.0016617869259789586,493.54256059
340648,-311.51580810546875,158.0,2156,99,0.018181966617703438,3414,681094,0.0016488594701513648,493.68370570999997
341280,-312.0059814453125,158.0,2160,99,0.019580747932195663,3420,682358,0.0016332811210304499,493.76426833000005
341912,-312.17779541015625,158.0,2164,99,0.02151443436741829,3426,683622,0.0016333013772964478,493.8655192500001
342544,-311.9671936035156,158.0,2168,99,0.018022412434220314,3433,684886,0.0016289707273244858,493.88724340999994
343176,-312.238525390625,158.0,2172,99,0.018402105197310448,3439,686150,0.0016268709441646934,493.92011269
343808,-312.0361328125,158.0,2176,99,0.018706677481532097,3446,687414,0.0016055675223469734,493.99384806999996
344440,-312.23822021484375,158.0,2180,99,0.019197482615709305,3453,688678,0.001618448761291802,494.07859920000004
345072,-312.8703918457031,158.0,2184,99,0.015171842649579048,3459,689942,0.001605797209776938,493.99542085999997
345704,-312.4937744140625,158.0,2188,99,0.017407894134521484,3466,691206,0.0016208398155868053,493.9542723500001
346336,-312.9835205078125,158.0,2192,99,0.017399057745933533,3472,692470,0.0015967111103236675,493.97703799000004
346968,-312.487548828125,158.0,2196,99,0.01694413833320141,3479,693734,0.0016114918980747461,494.10411734
347600,-312.96868896484375,158.0,2200,99,0.018917851150035858,3485,694998,0.0016471282579004765,493.99270976
348232,-312.6449279785156,158.0,2204,99,0.01920511946082115,3491,696262,0.0016870783874765038,494.04878655999994
348864,-313.1190185546875,158.0,2208,99,0.018827008083462715,3498,697526,0.0016582313692197204,494.20351728
349496,-313.3550109863281,158.0,2212,99,0.01562579721212387,3504,698790,0.0016371135134249926,494.45942486000007
350128,-313.71795654296875,158.0,2216,99,0.016729062423110008,3510,700054,0.0016177073121070862,494.54464532
350760,-313.7600402832031,158.0,2220,99,0.02013891190290451,3517,701318,0.0016174010233953595,494.55310704
351392,-313.96337890625,158.0,2224,99,0.016890404745936394,3524,702582,0.001626431941986084,494.54804755
352024,-313.6355285644531,158.0,2228,99,0.01620463840663433,3530,703846,0.0016137395286932588,494.62398274
352656,-313.86309814453125,158.0,2232,99,0.017697647213935852,3536,705110,0.0016035415465012193,494.7043862
353288,-313.4363708496094,158.0,2236,99,0.01895231381058693,3543,706374,0.0016222780104726553,494.86606876999997
353920,-314.0065002441406,158.0,2240,99,0.016638649627566338,3549,707638,0.0016259921249002218,494.81912392999993
354552,-314.4755859375,158.0,2244,99,0.030226675793528557,3555,708902,0.0016182010294869542,494.8292203400001
355184,-314.3791198730469,158.0,2248,99,0.028723470866680145,3562,710166,0.001659985980950296,494.69292521000006
355816,-313.88525390625,158.0,2252,99,0.023313824087381363,3568,711430,0.0016837897710502148,494.72867904
356448,-314.31878662109375,158.0,2256,99,0.0228973850607872,3574,712694,0.001670744502916932,494.5831687599999
357080,-314.3927917480469,158.0,2260,99,0.018296517431735992,3581,713958,0.0016285007586702704,494.6783201
357712,-314.7635498046875,158.0,2264,99,0.022267617285251617,3587,715222,0.0016090001445263624,494.5643253200001
358344,-314.1390380859375,158.0,2268,99,0.020628752186894417,3593,716486,0.0015925609041005373,494.4461868000001
358976,-314.9352722167969,158.0,2272,99,0.018332622945308685,3600,717750,0.0015753337647765875,494.36719195000006
359608,-314.64984130859375,158.0,2276,99,0.016976412385702133,3606,719014,0.0015829806216061115,494.33514974999997
360240,-314.4979553222656,158.0,2280,99,0.018308650702238083,3612,720278,0.00158713071141392,494.31178675999996
360872,-314.9190673828125,158.0,2284,99,0.022507959976792336,3619,721542,0.0015836714301258326,494.47827315
361504,-315.0849914550781,158.0,2288,99,0.015252463519573212,3625,722806,0.0015906257322058082,494.6290254799999
362136,-314.9578857421875,158.0,2292,99,0.018218835815787315,3631,724070,0.0015769617166370153,494.64011086
362768,-315.1037292480469,158.0,2296,99,0.018112104386091232,3638,725334,0.0015726604033261538,494.64022210999997
363400,-315.1858825683594,158.0,2300,99,0.027830542996525764,3644,726598,0.0016274310182780027,494.57046114999997
364032,-315.3199768066406,158.0,2304,99,0.022142643108963966,3650,727862,0.0016471212729811668,494.38600241999995
364664,-315.4897155761719,158.0,2308,99,0.025921834632754326,3656,729126,0.0016700825653970242,494.24528732
365296,-315.3825988769531,158.0,2312,99,0.016434233635663986,3663,730390,0.0016139488434419036,494.0745395999999
365928,-315.68511962890625,158.0,2316,99,0.01755508780479431,3669,731654,0.001590490574017167,494.1086429200001
366560,-315.07244873046875,158.0,2320,99,0.015120833180844784,3675,732918,0.001578292460180819,494.16522572
367192,-315.279296875,158.0,2324,99,0.020603159442543983,3682,734182,0.001567853381857276,494.26705726
367824,-315.656982421875,158.0,2328,99,0.017042867839336395,3688,735446,0.0015544064808636904,494.37027478
368456,-315.70635986328125,158.0,2332,99,0.01656929962337017,3695,736710,0.0015664425445720553,494.5032110199999
369088,-315.7705383300781,158.0,2336,99,0.014352629892528057,3701,737974,0.0015692879678681493,494.6155513
369720,-316.02191162109375,158.0,2340,99,0.016227012500166893,3707,739238,0.0015746128046885133,494.8113963800001
370352,-315.6131896972656,158.0,2344,99,0.01845022849738598,3714,740502,0.0015686184633523226,494.90228249000006
370984,-315.73486328125,158.0,2348,99,0.01624421402812004,3720,741766,0.0015762880211696029,495.14968124000006
371616,-315.3121337890625,158.0,2352,99,0.016340013593435287,3726,743030,0.0015789240133017302,495.28402395999996
372248,-315.4988708496094,158.0,2356,99,0.01724848337471485,3733,744294,0.0015753548359498382,495.44934764000004
372880,-315.7664794921875,158.0,2360,99,0.015406902879476547,3739,745558,0.001566037768498063,495.55575524999995
373512,-315.750244140625,158.0,2364,99,0.01803906261920929,3746,746822,0.0015629910631105304,495.82519606
374144,-315.71563720703125,158.0,2368,99,0.019584951922297478,3752,748086,0.001564203412272036,496.04770569
374776,-315.7452697753906,158.0,2372,99,0.016299717128276825,3759,749350,0.001555351889692247,496.1241858899999
375408,-315.6243591308594,158.0,2376,99,0.015944084152579308,3765,750614,0.0015763466944918036,496.22716174999994
376040,-316.48590087890625,158.0,2380,99,0.016084250062704086,3771,751878,0.001572684501297772,496.2866905
376672,-315.6661376953125,158.0,2384,99,0.018081054091453552,3778,753142,0.0015864785527810454,496.3202574999999
377304,-316.2334289550781,158.0,2388,99,0.015616284683346748,3784,754406,0.0015626453096047044,496.25550967000004
377936,-316.1246032714844,158.0,2392,99,0.016625618562102318,3790,755670,0.001567329396493733,496.31739117000006
378568,-315.9297180175781,158.0,2396,99,0.017307715490460396,3796,756934,0.001574115827679634,496.41564587
379200,-316.06951904296875,158.0,2400,99,0.016692763194441795,3803,758198,0.0015653710579499602,496.55993242999995
379832,-315.8521423339844,158.0,2404,99,0.018450474366545677,3810,759462,0.0015781751135364175,496.8280141
380464,-316.44091796875,158.0,2408,99,0.015109365805983543,3816,760726,0.0015724250115454197,497.21800850999995
381096,-315.90966796875,158.0,2412,99,0.017293399199843407,3823,761990,0.0015709912404417992,497.45242186
381728,-315.93865966796875,158.0,2416,99,0.01748482510447502,3829,763254,0.0015692745801061392,497.6125761299999
382360,-316.39794921875,158.0,2420,99,0.016561219468712807,3836,764518,0.0015579186147078872,497.8172630199999
382992,-316.04510498046875,158.0,2424,99,0.014493944123387337,3842,765782,0.0015619220212101936,497.93121719000004
383624,-315.9019775390625,158.0,2428,99,0.01679692603647709,3849,767046,0.0015629201661795378,497.94197394
384256,-316.1859130859375,158.0,2432,99,0.013301529921591282,3855,768310,0.0015575250145047903,497.96959082000006
384888,-315.8848571777344,158.0,2436,99,0.01710391603410244,3862,769574,0.0015559111488983035,497.9128207699999
385520,-316.0665283203125,158.0,2440,99,0.01799786277115345,3868,770838,0.0015397764509543777,497.89154072
386152,-316.10302734375,158.0,2444,99,0.014209959656000137,3875,772102,0.001573635614477098,498.0242600800001
386784,-316.15380859375,158.0,2448,99,0.015470417216420174,3881,773366,0.0015605431981384754,498.06852605000006
387416,-316.2445373535156,158.0,2452,99,0.017435157671570778,3888,774630,0.0015674976166337729,498.09136930000005
388048,-316.18023681640625,158.0,2456,99,0.018087642267346382,3894,775894,0.0015723095275461674,498.2818877
388680,-316.18475341796875,158.0,2460,99,0.01806185394525528,3901,777158,0.0015639371704310179,498.34001027
389312,-316.1159362792969,158.0,2464,99,0.016616441309452057,3908,778422,0.0015593187417834997,498.31334468000006
389944,-315.970458984375,158.0,2468,99,0.01880740374326706,3914,779686,0.0015612695133313537,498.3574781100001
390576,-316.171142578125,158.0,2472,99,0.014497293159365654,3920,780950,0.0015469886129722,498.4175216699999
391208,-316.1544189453125,158.0,2476,99,0.017308242619037628,3927,782214,0.0015436809044331312,498.46484825000005
391840,-316.23345947265625,158.0,2480,99,0.017779504880309105,3933,783478,0.0015574477147310972,498.51192245
392472,-315.84149169921875,158.0,2484,99,0.020473869517445564,3939,784742,0.0015300392406061292,498.51320262999997
393104,-316.1299743652344,158.0,2488,99,0.02080220729112625,3946,786006,0.0015350267058238387,498.53088548999995
393736,-316.15582275390625,158.0,2492,99,0.02014283835887909,3952,787270,0.001560096861794591,498.60842024
394368,-315.9481201171875,158.0,2496,99,0.014904321171343327,3959,788534,0.0015577402664348483,498.65796081
395000,-316.0888671875,158.0,2500,99,0.01671745628118515,3965,789798,0.0015452464576810598,498.71501089
395632,-316.4114074707031,158.0,2504,99,0.01706494577229023,3972,791062,0.0015366686275228858,498.86389581999987
396264,-316.19622802734375,158.0,2508,99,0.01646658219397068,3978,792326,0.0015460904687643051,498.9514674500001
396896,-315.9720458984375,158.0,2512,99,0.016667235642671585,3985,793590,0.0015395297668874264,498.96382537000005
397528,-315.9830017089844,158.0,2516,99,0.017952341586351395,3991,794854,0.001558055286295712,498.90292422000005
398160,-316.2662353515625,158.0,2520,99,0.01542619802057743,3997,796118,0.001556043978780508,498.88059851
398792,-315.9991149902344,158.0,2524,99,0.01722266525030136,4003,797382,0.0015429374761879444,498.82696206
399424,-316.22381591796875,158.0,2528,99,0.019717825576663017,4010,798646,0.0015413329238072038,498.83839236000006
400056,-316.3474426269531,158.0,2532,99,0.016431627795100212,4016,799910,0.001531550893560052,498.91630984000005
400688,-315.87493896484375,158.0,2536,99,0.015697715803980827,4023,801174,0.0015501424204558134,499.10235387
401320,-316.330322265625,158.0,2540,99,0.014130046591162682,4029,802438,0.0015299062943086028,499.1347998099999
401952,-316.322509765625,158.0,2544,99,0.019438184797763824,4036,803702,0.0015428941696882248,499.07645447999994
402584,-316.05487060546875,158.0,2548,99,0.014601855538785458,4042,804966,0.0015476895496249199,499.13175408999996
403216,-316.16375732421875,158.0,2552,99,0.015372125431895256,4049,806230,0.001553729991428554,499.24329498
403848,-316.16888427734375,158.0,2556,99,0.016093702986836433,4055,807494,0.0015406004386022687,499.1832958399999
404480,-316.4273986816406,158.0,2560,99,0.01898704096674919,4062,808758,0.0015356153016909957,499.3039698299999
405112,-316.28515625,158.0,2564,99,0.018127594143152237,4069,810022,0.0015492999227717519,499.3802489
405744,-316.25445556640625,158.0,2568,99,0.014322105795145035,4075,811286,0.001537842908874154,499.5399381099999
406376,-316.40869140625,158.0,2572,99,0.01296936720609665,4082,812550,0.0015301398234441876,499.63545693
407008,-316.5006103515625,158.0,2576,99,0.016489490866661072,4088,813814,0.0015581861371174455,499.72546426
407640,-316.5213928222656,158.0,2580,99,0.016628023236989975,4095,815078,0.001573661807924509,499.7595408200001
408272,-316.56427001953125,158.0,2584,99,0.01636161096394062,4101,816342,0.0015572308329865336,499.85366323999995
408904,-316.70550537109375,158.0,2588,99,0.013065263628959656,4107,817606,0.0015414961380884051,499.95389022
409536,-316.6771240234375,158.0,2592,99,0.017210327088832855,4113,818870,0.0015225430252030492,499.9871151300001
410168,-316.90008544921875,158.0,2596,99,0.017559591680765152,4120,820134,0.001522802864201367,499.96264350000007
410800,-316.6538391113281,158.0,2600,99,0.015538191422820091,4126,821398,0.0015257399063557386,500.10248078000006
411432,-316.6210021972656,158.0,2604,99,0.014688410796225071,4132,822662,0.0015165854711085558,500.07391832000013
412064,-316.6421203613281,158.0,2608,99,0.014428996481001377,4139,823926,0.0015232088044285774,500.00169694000004
412696,-316.421630859375,158.0,2612,99,0.02015065774321556,4145,825190,0.0015256977640092373,500.1110389800001
413328,-316.7191162109375,158.0,2616,99,0.014344535768032074,4151,826454,0.0015225408133119345,500.2319502100001
413960,-316.85015869140625,158.0,2620,99,0.019890308380126953,4157,827718,0.001527726766653359,500.28869187000004
414592,-316.8548583984375,158.0,2624,99,0.017619987949728966,4164,828982,0.001527772517874837,500.29879198000003
415224,-316.7432861328125,158.0,2628,99,0.015630407258868217,4170,830246,0.001507303910329938,500.38545493
415856,-316.9657897949219,158.0,2632,99,0.015088760294020176,4177,831510,0.0015170715050771832,500.3553257699999
416488,-316.75091552734375,158.0,2636,99,0.016624175012111664,4183,832774,0.0014934446662664413,500.3181630799999
417120,-316.72222900390625,158.0,2640,99,0.01596219278872013,4189,834038,0.0014980913838371634,500.29825761
417752,-317.0196533203125,158.0,2644,99,0.015442576259374619,4196,835302,0.0015218934277072549,500.34557982999996
418384,-316.8254089355469,158.0,2648,99,0.014897081069648266,4202,836566,0.0015209183329716325,500.34403694
419016,-316.9719543457031,158.0,2652,99,0.019278008490800858,4209,837830,0.0015197091270238161,500.2018300600001
419648,-317.3078308105469,158.0,2656,99,0.02252761274576187,4215,839094,0.0015113205881789327,500.0304026300001
420280,-316.7904052734375,158.0,2660,99,0.017233913764357567,4222,840358,0.0015435704262927175,499.92557151999995
420912,-316.8385009765625,158.0,2664,99,0.013177705928683281,4229,841622,0.001535224262624979,499.92370755
421544,-316.96722412109375,158.0,2668,99,0.018342791125178337,4235,842886,0.0015164060750976205,499.83703385
422176,-317.3123779296875,158.0,2672,99,0.019874844700098038,4241,844150,0.0015212541911751032,499.83424750000006
422808,-317.2029724121094,158.0,2676,99,0.01566905900835991,4247,845414,0.0015283365501090884,499.7805620600001
423440,-317.31195068359375,158.0,2680,99,0.01649719849228859,4254,846678,0.001518569770269096,499.72368528
424072,-316.8244934082031,158.0,2684,99,0.013672702945768833,4260,847942,0.001511398353613913,499.7041082399999
424704,-316.6419677734375,158.0,2688,99,0.017174169421195984,4267,849206,0.0015043900348246098,499.62574030000013
425336,-317.22515869140625,158.0,2692,99,0.01580013334751129,4273,850470,0.0014889755984768271,499.6489958
425968,-317.08795166015625,158.0,2696,99,0.01793096587061882,4280,851734,0.0015146774239838123,499.68986666999996
426600,-317.18157958984375,158.0,2700,99,0.01477737631648779,4286,852998,0.0014961139531806111,499.68846553000003
427232,-316.8446960449219,158.0,2704,99,0.01566394791007042,4293,854262,0.001512762508355081,499.79061949000004
427864,-317.11114501953125,158.0,2708,99,0.017581673339009285,4299,855526,0.0015128065133467317,499.93616798000005
428496,-317.21673583984375,158.0,2712,99,0.015225176699459553,4306,856790,0.0015013458905741572,499.96736258000004
429128,-317.211181640625,158.0,2716,99,0.016172828152775764,4312,858054,0.0015014446107670665,499.96304138999994
