train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
926486,0.013116315007209778,588,-243.22479248046875,99,0.0013783879112452269,463344,1888.9992084100004,4643,788.0
932790,0.014105420559644699,592,-242.78323364257812,99,0.0013921457575634122,466496,1889.7842865000002,4675,788.0
939094,0.011775249615311623,596,-244.58880615234375,99,0.0013639144599437714,469648,1890.9493236400003,4707,788.0
945398,0.011430058628320694,600,-242.59649658203125,99,0.0013676566304638982,472800,1891.8327654699997,4738,788.0
951702,0.012368882074952126,604,-243.42945861816406,99,0.0013581643579527736,475952,1892.72502896,4770,788.0
958006,0.011978330090641975,608,-243.09555053710938,99,0.0013603824190795422,479104,1893.58421725,4801,788.0
964310,0.01140105351805687,612,-243.95582580566406,99,0.001366827404126525,482256,1894.4859224299998,4832,788.0
970614,0.012754027731716633,616,-244.4912109375,99,0.001361092901788652,485408,1895.4632919500002,4863,788.0
976918,0.011646667495369911,620,-243.29962158203125,99,0.0013728602789342403,488560,1896.50455168,4895,788.0
983222,0.013306934386491776,624,-243.43438720703125,99,0.0013722797157242894,491712,1897.3134941300002,4928,788.0
989526,0.012515111826360226,628,-242.75082397460938,99,0.001374727813526988,494864,1898.3806324700001,4959,788.0
995830,0.012093398720026016,632,-243.03866577148438,99,0.0013689224142581224,498016,1899.2454563199997,4991,788.0
1002134,0.011810921132564545,636,-245.79356384277344,99,0.0013627340085804462,501168,1900.35668557,5024,788.0
1008438,0.012543612159788609,640,-244.9641876220703,99,0.0013657803647220135,504320,1901.5915979599997,5055,788.0
1014742,0.0128541961312294,644,-244.8943328857422,99,0.0013926251558586955,507472,1902.5208693499999,5086,788.0
1021046,0.01089648250490427,648,-242.67413330078125,99,0.0013768475037068129,510624,1903.556948,5119,788.0
1027350,0.01273830235004425,652,-244.05157470703125,99,0.001375172403641045,513776,1904.6316863799998,5150,788.0
1033654,0.011404941789805889,656,-242.21517944335938,99,0.0013957928167656064,516928,1905.5331546700004,5182,788.0
1039958,0.04091334715485573,660,-243.1732940673828,99,0.0015136277070268989,520080,1905.8222569000002,5213,788.0
1046262,0.029221152886748314,664,-246.85757446289062,99,0.0016581735108047724,523232,1903.54673659,5244,788.0
1052566,0.0396864078938961,668,-247.82568359375,99,0.0016738447593525052,526384,1900.24127344,5276,788.0
1058870,0.02341056615114212,672,-247.99221801757812,99,0.0015143901109695435,529536,1897.90403219,5308,788.0
1065174,0.020038217306137085,676,-246.6215057373047,99,0.0014575585955753922,532688,1896.83763898,5339,788.0
1071478,0.015455307438969612,680,-245.2272186279297,99,0.001443744171410799,535840,1895.91103465,5371,788.0
1077782,0.015222690999507904,684,-245.7523956298828,99,0.001420044107362628,538992,1895.6018847500004,5402,788.0
1084086,0.014388215728104115,688,-245.18231201171875,99,0.0014065980212762952,542144,1895.49922805,5434,788.0
1090390,0.01449319627135992,692,-246.539794921875,99,0.0013877978781238198,545296,1895.2015654600002,5466,788.0
1096694,0.014435517601668835,696,-247.7978973388672,99,0.0013881790218874812,548448,1895.39325304,5497,788.0
1102998,0.012398488819599152,700,-245.650390625,99,0.001389150507748127,551600,1895.67665097,5529,788.0
1109302,0.014284290373325348,704,-243.5064239501953,99,0.001362516894005239,554752,1895.9211095700002,5560,788.0
1115606,0.013567943125963211,708,-245.98861694335938,99,0.001385136740282178,557904,1896.54477609,5591,788.0
1121910,0.013427863828837872,712,-247.05064392089844,99,0.001390820019878447,561056,1897.00877182,5621,788.0
1128214,0.013911079615354538,716,-244.80059814453125,99,0.0013803038746118546,564208,1897.6497882200001,5652,788.0
