rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/total_timesteps,train/n_updates
150.0,0.00249046110548079,0.048950910568237305,358,92,423.55700197,-340.46783447265625,220,33000,65798
150.0,0.0024969179648905993,0.047571711242198944,364,92,425.1166556500001,-339.3822021484375,224,33600,66998
150.0,0.0025645410642027855,0.05101568624377251,370,92,426.4175491499999,-338.2012634277344,228,34200,68198
150.0,0.002570413751527667,0.05127105861902237,376,92,427.9046457899999,-336.82745361328125,232,34800,69398
150.0,0.002585496986284852,0.052379850298166275,383,92,429.52940261999987,-336.00775146484375,236,35400,70598
150.0,0.0025761157739907503,0.04552089795470238,389,92,431.48359500999993,-335.31903076171875,240,36000,71798
150.0,0.0024972904939204454,0.04315271973609924,395,92,432.9806531599999,-334.5096130371094,244,36600,72998
150.0,0.0025021524634212255,0.04769283905625343,401,92,434.36416699000006,-333.5413513183594,248,37200,74198
150.0,0.0025711297057569027,0.0439659021794796,408,92,436.45634019000005,-332.8905334472656,252,37800,75398
150.0,0.00260000373236835,0.04388967156410217,414,92,437.8083658200001,-332.2388610839844,256,38400,76598
150.0,0.0025675143115222454,0.042851243168115616,420,92,438.8877408,-331.8333740234375,260,39000,77798
150.0,0.002535376464948058,0.044614482671022415,426,92,440.41327058,-331.06768798828125,264,39600,78998
150.0,0.002497682347893715,0.04346441105008125,433,92,441.8988683299999,-330.595458984375,268,40200,80198
150.0,0.002494125161319971,0.038174789398908615,440,92,442.95097429000003,-330.06976318359375,272,40800,81398
150.0,0.002478161361068487,0.042901188135147095,446,92,444.2781350099999,-329.7139892578125,276,41400,82598
150.0,0.0024905407335609198,0.04271218925714493,452,92,445.7212760599999,-329.2580871582031,280,42000,83798
150.0,0.002463032491505146,0.04047194868326187,458,92,446.70884201999996,-328.7334289550781,284,42600,84998
150.0,0.0024169867392629385,0.04210810735821724,464,92,447.65376305000007,-328.175537109375,288,43200,86198
150.0,0.0025190406013280153,0.03915250301361084,471,92,448.8993584500001,-327.83343505859375,292,43800,87398
150.0,0.0024919614661484957,0.04062705114483833,477,92,449.4789935199999,-327.5249328613281,296,44400,88598
150.0,0.002509955782443285,0.043470997363328934,483,92,449.83002861999995,-327.07275390625,300,45000,89798
150.0,0.002485113451257348,0.04475926607847214,489,93,450.58585208000005,-326.817138671875,304,45600,90998
150.0,0.0024418660905212164,0.04308334365487099,496,92,451.27399183,-326.5909729003906,308,46200,92198
150.0,0.0024180321488529444,0.04428396746516228,502,93,452.44766798999996,-326.5224304199219,312,46800,93398
150.0,0.0024815017823129892,0.04989020526409149,509,93,452.82090362,-326.28228759765625,316,47400,94598
150.0,0.0025426186621189117,0.04827483743429184,515,93,453.70767507,-326.08428955078125,320,48000,95798
150.0,0.0024671994615346193,0.046265922486782074,521,93,454.63319226000004,-326.137939453125,324,48600,96998
150.0,0.002423842204734683,0.04039718210697174,528,93,455.79527354,-325.89617919921875,328,49200,98198
150.0,0.0024370583705604076,0.04160718992352486,534,93,456.37082023000005,-325.661376953125,332,49800,99398
150.0,0.0024754332844167948,0.03893301263451576,540,93,456.7614086800001,-325.573974609375,336,50400,100598
150.0,0.0024747238494455814,0.043304022401571274,546,93,456.74706727999995,-325.29937744140625,340,51000,101798
150.0,0.002477644942700863,0.03957859426736832,552,93,457.77315368999996,-325.32745361328125,344,51600,102998
150.0,0.0025034460704773664,0.04157591238617897,559,93,458.38576582,-325.19232177734375,348,52200,104198
150.0,0.002560236258432269,0.04965590685606003,565,93,458.73206178999993,-325.2215270996094,352,52800,105398
150.0,0.0025468317326158285,0.03991583734750748,571,93,459.13378244000006,-325.35760498046875,356,53400,106598
150.0,0.0025882450863718987,0.0382210798561573,577,93,459.96838928,-325.316162109375,360,54000,107798
150.0,0.0025901549961417913,0.040628284215927124,584,93,460.53264022999997,-325.61083984375,364,54600,108998
150.0,0.0025728356558829546,0.04608104005455971,590,93,460.44347116999995,-325.7288513183594,368,55200,110198
150.0,0.0025693539064377546,0.05036115646362305,596,93,460.6037791899999,-326.01507568359375,372,55800,111398
150.0,0.002559059765189886,0.051531173288822174,602,93,461.00407592999994,-326.05181884765625,376,56400,112598
150.0,0.0025343464221805334,0.04597526788711548,608,93,461.03505650999983,-326.2221374511719,380,57000,113798
150.0,0.0025060714688152075,0.04535961523652077,615,93,461.04145656000003,-326.2575988769531,384,57600,114998
150.0,0.002421397715806961,0.04821855202317238,621,93,461.02699386,-326.34600830078125,388,58200,116198
150.0,0.002435792237520218,0.044379252940416336,627,93,461.09255209999986,-326.52691650390625,392,58800,117398
150.0,0.002413026290014386,0.04300050809979439,633,93,461.5943651199999,-326.6405944824219,396,59400,118598
150.0,0.002403032034635544,0.04633078724145889,639,93,461.8809308600001,-326.57379150390625,400,60000,119798
150.0,0.002438183641061187,0.04199953377246857,646,93,462.29073293,-326.603515625,404,60600,120998
150.0,0.002461477881297469,0.043373048305511475,652,93,462.82799823,-326.744873046875,408,61200,122198
150.0,0.0024568778462707996,0.04676736518740654,658,93,463.04019654999996,-326.7982177734375,412,61800,123398
150.0,0.002423230791464448,0.047159865498542786,664,93,463.40516290000016,-326.84259033203125,416,62400,124598
150.0,0.0023672592360526323,0.04471009597182274,671,93,464.10122087999997,-327.17803955078125,420,63000,125798
150.0,0.0023880430962890387,0.04474259912967682,677,93,464.58241039999996,-327.15875244140625,424,63600,126998
150.0,0.002313622971996665,0.0428139865398407,683,93,464.91081478,-327.3702392578125,428,64200,128198
150.0,0.0023396543692797422,0.039900053292512894,689,93,465.53162532000005,-327.28057861328125,432,64800,129398
150.0,0.002254576189443469,0.03700167313218117,695,94,465.98980374,-327.4510498046875,436,65400,130598
150.0,0.0022527393884956837,0.03455953299999237,702,93,466.40391410000007,-327.20916748046875,440,66000,131798
150.0,0.0022495556622743607,0.034672368317842484,708,94,466.75165724,-327.3455810546875,444,66600,132998
150.0,0.0022730370983481407,0.038111601024866104,714,94,466.97148688000016,-327.206787109375,448,67200,134198
150.0,0.0022953422740101814,0.03855012357234955,720,94,466.65266651999997,-327.2579345703125,452,67800,135398
150.0,0.002357293851673603,0.036511171609163284,726,94,466.86705977,-327.5296630859375,456,68400,136598
150.0,0.0024463997688144445,0.0405864343047142,733,94,467.0434893,-327.35662841796875,460,69000,137798
150.0,0.0024254608433693647,0.03921135514974594,739,94,467.58169333999996,-327.62445068359375,464,69600,138998
150.0,0.002398270182311535,0.03885291516780853,745,94,468.43488707999995,-327.4769287109375,468,70200,140198
150.0,0.0023454236797988415,0.041821934282779694,751,94,468.5656333899999,-327.4710693359375,472,70800,141398
150.0,0.0023319788742810488,0.0412442684173584,758,94,469.4407999099999,-327.88665771484375,476,71400,142598
150.0,0.0023615623358637094,0.03682442754507065,764,94,470.29160402,-328.05987548828125,480,72000,143798
150.0,0.002390636131167412,0.0383620448410511,770,94,471.44200362,-328.0499572753906,484,72600,144998
150.0,0.002350814873352647,0.03517899289727211,776,94,472.62214258,-328.17681884765625,488,73200,146198
150.0,0.002332413801923394,0.0387461856007576,782,94,472.93579504,-328.232666015625,492,73800,147398
150.0,0.0023075651843100786,0.03708508983254433,789,94,473.2679049800001,-328.22564697265625,496,74400,148598
150.0,0.002353046555072069,0.04271584376692772,795,94,473.53394051,-328.5152282714844,500,75000,149798
150.0,0.0022733048535883427,0.03793451935052872,802,94,473.46756532,-328.7649230957031,504,75600,150998
150.0,0.0023089786991477013,0.038523200899362564,808,94,473.71651828,-328.7958984375,508,76200,152198
150.0,0.0022425150964409113,0.034709032624959946,814,94,474.0796822,-328.47711181640625,512,76800,153398
150.0,0.002274271799251437,0.041539955884218216,821,94,474.54272809,-328.6478576660156,516,77400,154598
150.0,0.002253409940749407,0.03501863777637482,827,94,474.85456925,-328.78643798828125,520,78000,155798
150.0,0.002235713880509138,0.0359659418463707,833,94,474.83845098999996,-328.7402038574219,524,78600,156998
150.0,0.0022143321111798286,0.03487963601946831,839,94,475.0166664899999,-328.68890380859375,528,79200,158198
150.0,0.002231862163171172,0.045071639120578766,846,94,474.99255905999996,-328.90570068359375,532,79800,159398
150.0,0.002250198507681489,0.03773889318108559,852,94,475.18723005,-329.083984375,536,80400,160598
150.0,0.002241370268166065,0.03657105937600136,858,94,475.42123659,-329.2015380859375,540,81000,161798
150.0,0.002222946844995022,0.04172459989786148,864,94,475.26017798,-329.3018798828125,544,81600,162998
150.0,0.0022310311906039715,0.036192357540130615,871,94,475.63937814,-329.2311706542969,548,82200,164198
150.0,0.0022176734637469053,0.0372600257396698,878,94,476.50911990000003,-329.3978576660156,552,82800,165398
150.0,0.0021973273251205683,0.03877009078860283,884,94,477.26128013,-329.66552734375,556,83400,166598
150.0,0.0021534941624850035,0.03678693249821663,890,94,477.54707084,-329.54449462890625,560,84000,167798
150.0,0.0021263500675559044,0.032479748129844666,896,94,477.37274805,-329.6737060546875,564,84600,168998
150.0,0.0021593726705759764,0.03549683839082718,903,94,477.22501219,-329.82586669921875,568,85200,170198
150.0,0.002152291825041175,0.03739612177014351,909,94,477.6068406399999,-329.920166015625,572,85800,171398
150.0,0.002137482399120927,0.03254656121134758,915,94,477.74140953,-329.99896240234375,576,86400,172598
150.0,0.0021051717922091484,0.029867073521018028,921,94,477.83370016000003,-330.0987548828125,580,87000,173798
150.0,0.002099700039252639,0.03820433467626572,927,94,478.03183739,-329.875,584,87600,174998
150.0,0.0021211053244769573,0.03731532394886017,934,94,478.05866211,-330.025390625,588,88200,176198
150.0,0.002081040758639574,0.03414889797568321,940,94,478.75312241,-330.05712890625,592,88800,177398
150.0,0.0020803839433938265,0.03471773490309715,946,94,479.39849785000007,-330.279296875,596,89400,178598
150.0,0.002080711303278804,0.033570047467947006,952,94,480.19866453,-330.1600036621094,600,90000,179798
150.0,0.0020888857543468475,0.029159124940633774,958,94,480.69164162999994,-330.4083557128906,604,90600,180998
150.0,0.0021004509180784225,0.03894270583987236,965,94,480.8798237699999,-330.61529541015625,608,91200,182198
150.0,0.002046062145382166,0.03273330256342888,971,94,481.15184864,-330.6001892089844,612,91800,183398
150.0,0.002036404563114047,0.030978407710790634,977,94,481.28511180999993,-330.55767822265625,616,92400,184598
150.0,0.00206719059497118,0.03707681596279144,983,94,481.52855601999994,-330.847412109375,620,93000,185798
150.0,0.002047556219622493,0.03557334095239639,989,94,481.5820489899999,-330.83746337890625,624,93600,186998
150.0,0.001998628955334425,0.03635430708527565,996,94,481.66763325999995,-331.06768798828125,628,94200,188198
150.0,0.00196147826500237,0.03205569088459015,1001,94,481.99034636000005,-331.2720947265625,632,94800,189398
150.0,0.001986413262784481,0.039662010967731476,1007,94,481.81373169000005,-331.4684753417969,636,95400,190598
150.0,0.002001725835725665,0.036403704434633255,1014,94,481.98324645999986,-331.22406005859375,640,96000,191798
150.0,0.0020232798997312784,0.0350421778857708,1020,94,482.59861789999997,-331.186767578125,644,96600,192998
150.0,0.0020258836448192596,0.03257997706532478,1026,94,483.07832658,-331.211669921875,648,97200,194198
150.0,0.001976147759705782,0.034160368144512177,1032,94,482.8951228200001,-331.49591064453125,652,97800,195398
150.0,0.001987445168197155,0.02812284044921398,1038,94,482.49037573000004,-331.347412109375,656,98400,196598
150.0,0.0019665269646793604,0.03119748644530773,1045,94,482.74138912999996,-331.36212158203125,660,99000,197798
150.0,0.001962330425158143,0.03164836764335632,1051,94,483.1580119100001,-331.3275451660156,664,99600,198998
150.0,0.0019238763488829136,0.03534563258290291,1057,94,483.69250976,-331.0539855957031,668,100200,200198
150.0,0.0019310801289975643,0.03239888325333595,1064,94,484.3260789000001,-331.51971435546875,672,100800,201398
150.0,0.0019165814155712724,0.02992936596274376,1070,94,484.3486739600001,-331.41717529296875,676,101400,202598
150.0,0.0019341626903042197,0.029907140880823135,1077,94,484.61674837,-331.65869140625,680,102000,203798
150.0,0.001913194777444005,0.033263035118579865,1083,94,484.4467901999999,-331.820068359375,684,102600,204998
150.0,0.0019279225962236524,0.03128238394856453,1089,94,484.8172741099999,-331.78912353515625,688,103200,206198
150.0,0.00192028540186584,0.02909083291888237,1095,94,484.79330581,-332.0133056640625,692,103800,207398
150.0,0.001955227227881551,0.037482891231775284,1101,94,484.58616116999997,-331.96075439453125,696,104400,208598
150.0,0.0019543184898793697,0.03164483606815338,1108,94,484.6099793599999,-331.86138916015625,700,105000,209798
150.0,0.001923469128087163,0.026741083711385727,1114,94,484.64114361,-332.03741455078125,704,105600,210998
150.0,0.0019267003517597914,0.03504013642668724,1120,94,484.87525756,-331.94207763671875,708,106200,212198
150.0,0.001863866113126278,0.0321778766810894,1126,94,484.91693275,-332.09747314453125,712,106800,213398
150.0,0.002039165236055851,0.061429642140865326,1132,94,484.91621529,-332.27899169921875,716,107400,214598
150.0,0.0019324481254443526,0.03309761732816696,1139,94,484.67439726000003,-332.27154541015625,720,108000,215798
150.0,0.0019383803009986877,0.037449758499860764,1145,94,484.95004807,-332.0713195800781,724,108600,216998
150.0,0.0019335062243044376,0.034350134432315826,1151,94,485.32753197000005,-332.15679931640625,728,109200,218198
150.0,0.0019299349514767528,0.029658226296305656,1157,94,485.41377357,-332.4772644042969,732,109800,219398
150.0,0.001932566985487938,0.03194042667746544,1163,94,486.19697087000003,-332.36077880859375,736,110400,220598
150.0,0.001873414614237845,0.030101299285888672,1169,94,486.61373033999996,-332.74395751953125,740,111000,221798
150.0,0.001900313189253211,0.03511452302336693,1176,94,486.28683696,-332.5099182128906,744,111600,222998
150.0,0.0018448792397975922,0.03027859702706337,1182,94,486.24006598000005,-332.769287109375,748,112200,224198
150.0,0.001867077429778874,0.029857052490115166,1188,94,486.65216942,-332.9425964355469,752,112800,225398
150.0,0.0018633587751537561,0.02775321900844574,1195,94,487.33826822,-332.9700927734375,756,113400,226598
150.0,0.001855541137047112,0.02741296775639057,1201,94,487.53989323,-332.932861328125,760,114000,227798
150.0,0.0018280161311849952,0.028531890362501144,1207,94,487.51523617,-333.36517333984375,764,114600,228998
150.0,0.00181371602229774,0.028736941516399384,1213,94,487.384878,-333.3731384277344,768,115200,230198
150.0,0.001857364666648209,0.03827386349439621,1220,94,487.13924232,-332.97711181640625,772,115800,231398
150.0,0.0018404403235763311,0.03358134627342224,1226,94,486.85856453,-333.3197021484375,776,116400,232598
150.0,0.001821500831283629,0.032420795410871506,1232,94,487.0755370999999,-333.200927734375,780,117000,233798
150.0,0.0018348103621974587,0.031177813187241554,1238,94,487.38264791999995,-333.2723693847656,784,117600,234998
150.0,0.001835533999837935,0.03454728424549103,1244,94,487.3611303199999,-333.3756103515625,788,118200,236198
150.0,0.0018749972805380821,0.036082375794649124,1251,94,487.18617009999986,-333.6114196777344,792,118800,237398
150.0,0.0019689297769218683,0.03345256298780441,1257,94,487.07309396999995,-333.76141357421875,796,119400,238598
150.0,0.0019442149205133319,0.04499846696853638,1263,94,486.67857965,-333.66412353515625,800,120000,239798
150.0,0.0018976383144035935,0.03036700189113617,1269,94,486.5411322400001,-333.80364990234375,804,120600,240998
150.0,0.001889844425022602,0.03193346783518791,1275,95,486.4953940200001,-333.61004638671875,808,121200,242198
150.0,0.0018725981935858727,0.032126326113939285,1282,94,486.30895381000005,-334.11517333984375,812,121800,243398
150.0,0.0018579491879791021,0.02873847633600235,1288,94,486.38566802,-334.3619689941406,816,122400,244598
150.0,0.0019988128915429115,0.04073565825819969,1294,95,486.46498477,-333.9779052734375,820,123000,245798
150.0,0.0018615665612742305,0.034714341163635254,1300,95,486.77194792,-334.1148681640625,824,123600,246998
150.0,0.0017963950522243977,0.03231280669569969,1306,95,486.57441801999994,-334.27783203125,828,124200,248198
150.0,0.0017389188287779689,0.028501123189926147,1313,95,486.32024728000005,-334.4748229980469,832,124800,249398
150.0,0.001734658726491034,0.03214500844478607,1319,95,485.9752529199999,-334.06903076171875,836,125400,250598
150.0,0.0017525749281048775,0.030991509556770325,1325,95,486.0519329299999,-334.634033203125,840,126000,251798
150.0,0.0017700488679111004,0.03161149471998215,1331,95,486.32908311999995,-334.512451171875,844,126600,252998
150.0,0.0017746675293892622,0.029831623658537865,1338,95,486.34595134999995,-334.535888671875,848,127200,254198
150.0,0.0017648589564487338,0.03340264409780502,1344,95,486.0751339000001,-334.3550720214844,852,127800,255398
150.0,0.00179929262958467,0.03246157988905907,1350,95,485.7470770800001,-334.6275634765625,856,128400,256598
150.0,0.0017865687841549516,0.031148403882980347,1356,95,485.74844870999993,-334.60040283203125,860,129000,257798
150.0,0.0017622755840420723,0.03249705582857132,1362,95,485.73616173000005,-334.86041259765625,864,129600,258998
150.0,0.002074249554425478,0.07780370861291885,1369,95,485.73730127000005,-334.88470458984375,868,130200,260198
150.0,0.001943140639923513,0.04388778284192085,1375,95,485.5365367,-334.986572265625,872,130800,261398
150.0,0.0018432321958243847,0.03786913678050041,1381,95,485.85988417,-334.7105712890625,876,131400,262598
150.0,0.0018121410394087434,0.03143041580915451,1387,95,485.8025555200001,-335.24188232421875,880,132000,263798
150.0,0.001767651760019362,0.03568955883383751,1393,95,486.10125367000006,-335.1058349609375,884,132600,264998
150.0,0.0017633935203775764,0.03221780061721802,1400,95,486.24647045,-335.44866943359375,888,133200,266198
150.0,0.0017593152588233352,0.032117217779159546,1406,95,486.7824032799999,-335.4468994140625,892,133800,267398
150.0,0.001735212281346321,0.03252903372049332,1412,95,487.05773136000005,-335.489501953125,896,134400,268598
150.0,0.001738504390232265,0.04477659985423088,1418,95,487.29869471999996,-335.5428771972656,900,135000,269798
150.0,0.0017725194338709116,0.04009932279586792,1425,95,487.2950474099999,-335.46612548828125,904,135600,270998
150.0,0.0017664915649220347,0.0358458012342453,1431,95,487.23955348999993,-335.5635986328125,908,136200,272198
150.0,0.0017128364415839314,0.03257521986961365,1437,95,487.63012537,-335.56927490234375,912,136800,273398
150.0,0.0016784181352704763,0.027481233701109886,1443,95,487.75545044000006,-335.76226806640625,916,137400,274598
150.0,0.0016186339780688286,0.030671950429677963,1449,95,488.18903702000006,-335.5150146484375,920,138000,275798
150.0,0.0015896703116595745,0.025408105924725533,1456,95,488.16792584999996,-335.53155517578125,924,138600,276998
150.0,0.001587843056768179,0.026851484552025795,1462,95,488.47673002000005,-335.54986572265625,928,139200,278198
150.0,0.0015656630275771022,0.030957648530602455,1468,95,489.20964819999995,-335.2318115234375,932,139800,279398
150.0,0.0015668078558519483,0.024614060297608376,1474,95,489.56199835,-335.42413330078125,936,140400,280598
150.0,0.0015779539244249463,0.02835945598781109,1480,95,489.83011382999996,-335.4079284667969,940,141000,281798
150.0,0.0015968085499480367,0.027658093720674515,1487,95,489.8382154600001,-335.1801452636719,944,141600,282998
150.0,0.0015955573180690408,0.029312174767255783,1493,95,489.97844423000004,-335.33251953125,948,142200,284198
150.0,0.0015944857150316238,0.023061372339725494,1499,95,490.18812950000006,-335.40350341796875,952,142800,285398
150.0,0.001595074194483459,0.030198166146874428,1505,95,490.24017886,-335.2991943359375,956,143400,286598
150.0,0.001599860959686339,0.02540295012295246,1512,95,490.34716688000003,-335.6056823730469,960,144000,287798
150.0,0.0016326020704582334,0.03699089214205742,1518,95,490.5161511300001,-335.30224609375,964,144600,288998
150.0,0.001897046691738069,0.06526696681976318,1524,95,490.07076032,-335.3904724121094,968,145200,290198
150.0,0.001865597441792488,0.04811679944396019,1530,95,490.20592439000006,-335.18231201171875,972,145800,291398
150.0,0.0017677049618214369,0.032883938401937485,1536,95,489.88825023000004,-335.3755798339844,976,146400,292598
150.0,0.00167123693972826,0.02652563340961933,1543,95,489.85456934,-335.67926025390625,980,147000,293798
150.0,0.0015959072625264525,0.027256878092885017,1549,95,489.8590705099999,-335.3281555175781,984,147600,294998
150.0,0.0017384960083290935,0.044239986687898636,1555,95,489.5783628500001,-335.40740966796875,988,148200,296198
150.0,0.0018404105212539434,0.06842963397502899,1561,95,488.49828634,-335.7057189941406,992,148800,297398
150.0,0.001856782822869718,0.04444054141640663,1567,95,487.4140005499999,-335.5143737792969,996,149400,298598
150.0,0.0016406637150794268,0.033706288784742355,1574,95,487.07651062000014,-335.53118896484375,1000,150000,299798
150.0,0.0015842946013435721,0.0349680632352829,1580,95,487.28838427000005,-335.5013732910156,1004,150600,300998
150.0,0.0015417556278407574,0.0311718862503767,1586,95,487.66851289999994,-335.3067626953125,1008,151200,302198
150.0,0.0015416372334584594,0.03148384392261505,1592,95,487.78816852000006,-335.6212463378906,1012,151800,303398
150.0,0.0015657121548429132,0.03226979076862335,1599,95,487.7218629900001,-335.87225341796875,1016,152400,304598
150.0,0.0015779146924614906,0.03027338534593582,1605,95,487.73057046,-335.7266845703125,1020,153000,305798
150.0,0.0015700365183874965,0.02897016517817974,1611,95,487.95596120000005,-335.78265380859375,1024,153600,306998
150.0,0.0015512686222791672,0.039180219173431396,1617,95,487.91494408000005,-335.6305847167969,1028,154200,308198
150.0,0.0021355152130126953,0.17517824470996857,1624,95,486.2976674200001,-336.043701171875,1032,154800,309398
150.0,0.002041576197370887,0.07386907190084457,1630,95,485.77171923000003,-336.0318603515625,1036,155400,310598
150.0,0.0018748050788417459,0.0398394800722599,1637,95,485.6329960300001,-335.9184265136719,1040,156000,311798
150.0,0.0017522991402074695,0.034799620509147644,1643,95,485.76986648999997,-336.3243713378906,1044,156600,312998
150.0,0.0017344148363918066,0.04950083792209625,1649,95,485.85747382,-336.5552673339844,1048,157200,314198
150.0,0.001650270656682551,0.032964304089546204,1655,95,486.04032734,-336.4346923828125,1052,157800,315398
150.0,0.0015368921449407935,0.03173590824007988,1662,95,486.34379543,-336.44970703125,1056,158400,316598
150.0,0.0014840895310044289,0.027715887874364853,1668,95,486.31357921,-336.6163024902344,1060,159000,317798
150.0,0.001474588643759489,0.034449245780706406,1674,95,486.05607351,-336.4805603027344,1064,159600,318998
150.0,0.0014918893575668335,0.03012511320412159,1680,95,486.34430797,-336.3968505859375,1068,160200,320198
150.0,0.0015909603098407388,0.03268807381391525,1686,95,486.06893648000005,-336.3612060546875,1072,160800,321398
