time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
88200,0.0023832563310861588,896,467.44213326,176198,588,150.0,98,0.05954504385590553,-324.1391296386719
88800,0.002310448791831732,902,467.94660154999997,177398,592,150.0,98,0.05127476528286934,-324.6897888183594
89400,0.0022720140404999256,908,468.30778394000004,178598,596,150.0,98,0.05158567056059837,-324.6651611328125
90000,0.0023307804949581623,914,468.39158040999996,179798,600,150.0,98,0.05496036633849144,-325.038330078125
90600,0.0023517643567174673,920,468.4993734599999,180998,604,150.0,98,0.055339232087135315,-325.1571044921875
91200,0.0023724099155515432,926,468.69191842999993,182198,608,150.0,98,0.051527976989746094,-325.507080078125
91800,0.002360815880820155,932,469.3618285900001,183398,612,150.0,98,0.05809124559164047,-325.68218994140625
92400,0.0023940710816532373,938,469.51965727000004,184598,616,150.0,98,0.05250008776783943,-326.025634765625
93000,0.0024304066319018602,944,470.23349981,185798,620,150.0,98,0.057295188307762146,-326.4376220703125
93600,0.0023500975221395493,950,470.73499818,186998,624,150.0,98,0.05165405198931694,-326.8393859863281
94200,0.0023396543692797422,956,470.98999733000005,188198,628,150.0,98,0.05515257269144058,-327.033447265625
94800,0.0023909863084554672,962,471.56964203999996,189398,632,150.0,98,0.057759545743465424,-327.4850769042969
95400,0.0023322792258113623,968,471.6416570899999,190598,636,150.0,98,0.054991673678159714,-327.645263671875
96000,0.00224787974730134,974,471.47134460999996,191798,640,150.0,98,0.05298995599150658,-327.794189453125
96600,0.002179880626499653,980,471.02153523999993,192998,644,150.0,98,0.04633098095655441,-328.0680847167969
97200,0.0021189560648053885,986,470.71178474,194198,648,150.0,98,0.048470474779605865,-328.2089538574219
97800,0.00212486507371068,992,471.17610264999996,195398,652,150.0,98,0.045662637799978256,-328.46533203125
98400,0.002137688221409917,998,470.90384918,196598,656,150.0,98,0.05403546616435051,-328.3132019042969
99000,0.0021495523396879435,1004,470.9628593400001,197798,660,150.0,98,0.053821612149477005,-328.5064697265625
99600,0.002160633448511362,1010,471.0980203,198998,664,150.0,98,0.05021621659398079,-328.59759521484375
100200,0.00214247009716928,1016,471.6501662799999,200198,668,150.0,98,0.05125422775745392,-328.8538818359375
100800,0.002157066250219941,1022,471.9428309199999,201398,672,150.0,98,0.04721835255622864,-328.69232177734375
101400,0.002184221288189292,1028,472.46209655,202598,676,150.0,98,0.047580163925886154,-328.9810791015625
102000,0.002164635341614485,1034,472.61839319,203798,680,150.0,98,0.050440479069948196,-329.11199951171875
102600,0.0021633775904774666,1040,472.54623524000004,204998,684,150.0,98,0.044605553150177,-329.2584228515625
103200,0.0021129718516021967,1047,472.8690236899999,206198,688,150.0,98,0.047748465090990067,-329.3753662109375
103800,0.002101111225783825,1053,473.1244068099999,207398,692,150.0,98,0.04929649829864502,-329.55487060546875
104400,0.0021004010923206806,1059,473.00985732999993,208598,696,150.0,98,0.04962826520204544,-329.547607421875
105000,0.0021688404958695173,1065,472.94388503000005,209798,700,150.0,98,0.05445144325494766,-329.72198486328125
105600,0.0022096154280006886,1071,473.38551973,210998,704,150.0,98,0.05085689574480057,-329.56939697265625
106200,0.0021598453167825937,1077,473.26806717,212198,708,150.0,98,0.053343068808317184,-329.65435791015625
106800,0.0021055564284324646,1083,472.9434769499999,213398,712,150.0,98,0.0450626015663147,-329.9051208496094
107400,0.00210742955096066,1089,472.97346518000006,214598,716,150.0,98,0.04800562933087349,-329.93328857421875
108000,0.0020195073448121548,1095,472.70380531,215798,720,150.0,98,0.045331861823797226,-329.96771240234375
108600,0.0020256643183529377,1101,473.22593009999997,216998,724,150.0,98,0.046148065477609634,-330.0921936035156
109200,0.002035746583715081,1107,473.54592902,218198,728,150.0,98,0.04930730536580086,-330.28955078125
