train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef,time/total_timesteps,train/n_updates,time/episodes,time/time_elapsed,train/actor_loss
0.024602647870779037,168.3366405526316,158.0,92,0.06265882402658463,12008,23814,76,129,-552.0802612304688
0.030131561681628227,173.74281268750002,158.0,92,0.054527442902326584,12640,25078,80,136,-537.193603515625
0.03314376622438431,178.77458460714286,158.0,93,0.04746784269809723,13272,26342,84,142,-522.2744750976562
0.036145858466625214,183.39242169318183,158.0,93,0.04133643954992294,13904,27606,88,149,-507.0714416503906
0.03602553904056549,188.01886428260866,158.0,93,0.03601492568850517,14536,28870,92,155,-492.04302978515625
0.038811877369880676,192.40766541666667,158.0,93,0.03139325976371765,15168,30134,96,162,-477.4024658203125
0.034838005900382996,197.13578775000005,158.0,93,0.027395334094762802,15800,31398,100,169,-463.0972595214844
0.036597397178411484,208.38430605000005,158.0,93,0.0239357128739357,16432,32662,104,175,-449.2677307128906
0.04304425045847893,219.47971024999998,158.0,93,0.020935436710715294,17064,33926,108,182,-436.19305419921875
0.03686092793941498,230.78512611999997,158.0,93,0.01835397630929947,17696,35190,112,188,-423.76708984375
0.03271180018782616,241.76720437000003,158.0,93,0.01611258275806904,18328,36454,116,195,-412.0959777832031
0.03334149718284607,251.80955810000003,158.0,93,0.014151920564472675,18960,37718,120,202,-401.1310119628906
0.030490415170788765,261.34987262,158.0,93,0.012448233552277088,19592,38982,124,208,-390.7547912597656
0.026234576478600502,269.98712413,158.0,93,0.010964253917336464,20224,40246,128,215,-381.311767578125
0.028807440772652626,278.19083936,158.0,93,0.009680932387709618,20856,41510,132,222,-372.4024353027344
0.02923617884516716,285.63835922000004,158.0,93,0.008556267246603966,21488,42774,136,228,-364.4912109375
0.026124795898795128,292.08524167,158.0,93,0.007567521184682846,22120,44038,140,235,-357.44073486328125
0.02390715479850769,298.84919169,158.0,94,0.006700371392071247,22752,45302,144,241,-349.8013916015625
0.022140920162200928,305.11486226,158.0,94,0.005941350944340229,23384,46566,148,248,-343.61505126953125
0.021422408521175385,311.02879375,158.0,94,0.005283595994114876,24016,47830,152,254,-337.4910888671875
0.02043107897043228,316.44136055999996,158.0,94,0.0047096917405724525,24648,49094,156,260,-332.4117431640625
0.020857425406575203,321.55142242,158.0,94,0.004209277685731649,25280,50358,160,267,-327.3802490234375
0.01971270889043808,326.51152099,158.0,94,0.003769483882933855,25912,51622,164,274,-322.1943359375
0.018425840884447098,331.74359003999996,158.0,94,0.003385258838534355,26544,52886,168,280,-318.390625
0.017328787595033646,336.63819536999995,158.0,94,0.0030636449810117483,27176,54150,172,287,-314.94732666015625
0.01780560426414013,341.49399448,158.0,94,0.0027785804122686386,27808,55414,176,293,-310.47076416015625
0.01705210655927658,345.99285906999995,158.0,94,0.0025337315164506435,28440,56678,180,300,-307.2765808105469
0.01885349303483963,350.56932151000007,158.0,94,0.0023327930830419064,29072,57942,184,306,-304.303466796875
0.01673736609518528,355.22804591999994,158.0,94,0.00216156174428761,29704,59206,188,312,-301.705078125
0.01698903739452362,359.57499738999996,158.0,95,0.002015684964135289,30336,60470,192,318,-298.8038330078125
0.015566544607281685,364.06033401,158.0,95,0.0019132194574922323,30968,61734,196,325,-296.58819580078125
0.015784086659550667,367.84176014999997,158.0,95,0.0018565660575404763,31600,62998,200,331,-294.0592956542969
0.014378001913428307,371.52191710999995,158.0,95,0.001815514056943357,32232,64262,204,338,-292.19927978515625
0.018977845087647438,375.19268366999995,158.0,95,0.0017849842552095652,32864,65526,208,344,-290.12908935546875
0.01867138408124447,378.21349922999985,158.0,95,0.0017928113229572773,33496,66790,212,351,-288.5482177734375
0.014915858395397663,381.09929571,158.0,95,0.001826606341637671,34128,68054,216,357,-286.91815185546875
