time/episodes,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
432,129398,64800,0.0026266896165907383,461.36239102,661,97,-332.2943115234375,150.0,0.04567780718207359
436,130598,65400,0.002622188301756978,462.05490596,667,97,-332.4498291015625,150.0,0.04941257834434509
440,131798,66000,0.002636530203744769,462.7923696,673,97,-331.5992126464844,150.0,0.05709629878401756
444,132998,66600,0.002560296095907688,463.7535912199999,679,98,-331.79058837890625,150.0,0.048730865120887756
448,134198,67200,0.0025964181404560804,464.20997301999995,685,98,-332.4631652832031,150.0,0.04896093159914017
452,135398,67800,0.002531438134610653,464.27573519,691,98,-332.12396240234375,150.0,0.04862343892455101
456,136598,68400,0.002528570592403412,464.69330207999997,697,98,-332.1624755859375,150.0,0.056458089500665665
460,137798,69000,0.0025421218015253544,464.74057606,703,98,-332.1502685546875,150.0,0.05444104224443436
464,138998,69600,0.0025874862913042307,465.1500758600001,709,98,-332.6973571777344,150.0,0.053621310740709305
468,140198,70200,0.00268286420032382,465.5034430900001,715,98,-332.4850769042969,150.0,0.07894577085971832
472,141398,70800,0.0025899389293044806,465.79652529,721,98,-332.5999755859375,150.0,0.055377982556819916
476,142598,71400,0.0026003955863416195,465.83197485,727,98,-332.1715393066406,150.0,0.052824050188064575
480,143798,72000,0.0024883304722607136,466.00134587,733,98,-332.4163513183594,150.0,0.05072980746626854
484,144998,72600,0.0025349038187414408,465.9458539300001,739,98,-332.5647888183594,150.0,0.05689274147152901
488,146198,73200,0.0025323727168142796,466.3782848300001,745,98,-332.4681701660156,150.0,0.04569614678621292
492,147398,73800,0.002527497708797455,466.93141751,751,98,-332.3338623046875,150.0,0.04746001586318016
496,148598,74400,0.002569129690527916,466.5664088699999,757,98,-332.68463134765625,150.0,0.047592733055353165
500,149798,75000,0.0025100766215473413,466.5596655300001,763,98,-332.4388732910156,150.0,0.04793054983019829
504,150998,75600,0.002491289982572198,467.05503502000005,769,98,-332.6914978027344,150.0,0.04966726899147034
508,152198,76200,0.002493456704542041,467.37141606999995,775,98,-333.1370849609375,150.0,0.04766849800944328
512,153398,76800,0.0025181579403579235,467.49537533999995,781,98,-332.42498779296875,150.0,0.05310330539941788
516,154598,77400,0.0024934150278568268,467.65378402000005,787,98,-332.6767272949219,150.0,0.05229482054710388
520,155798,78000,0.002466304460540414,467.65800803999997,793,98,-332.37164306640625,150.0,0.04947404935956001
524,156998,78600,0.0024759643711149693,468.1471278000001,799,98,-332.3688049316406,150.0,0.05418134853243828
528,158198,79200,0.002488307887688279,468.41014456,805,98,-332.5413818359375,150.0,0.05301513895392418
532,159398,79800,0.002507089637219906,468.65307679,811,98,-332.7594299316406,150.0,0.048421792685985565
536,160598,80400,0.0024607540108263493,468.94473582,817,98,-333.10980224609375,150.0,0.050791047513484955
540,161798,81000,0.0024924972094595432,469.29251657000003,823,98,-332.9730224609375,150.0,0.04972929134964943
544,162998,81600,0.0025510175619274378,469.04552529000006,829,98,-332.43634033203125,150.0,0.05062790587544441
548,164198,82200,0.002548562828451395,469.4847331100001,835,98,-332.3575744628906,150.0,0.06645617634057999
552,165398,82800,0.0025506040547043085,469.8154646400001,841,98,-333.0596008300781,150.0,0.053726453334093094
556,166598,83400,0.002469870261847973,469.64248165000004,847,98,-333.08013916015625,150.0,0.05386731028556824
560,167798,84000,0.0024606247898191214,469.80559531,853,98,-332.90411376953125,150.0,0.05123326927423477
564,168998,84600,0.002556677907705307,469.97612784000006,859,98,-333.2366638183594,150.0,0.04955824092030525
568,170198,85200,0.0024981803726404905,470.2727709,865,98,-332.87347412109375,150.0,0.049577146768569946
572,171398,85800,0.0025388605426996946,470.00467901999997,871,98,-333.0452575683594,150.0,0.05212104320526123
576,172598,86400,0.002422208432108164,470.52681807,877,98,-333.50421142578125,150.0,0.046041831374168396
580,173798,87000,0.002384088234975934,470.8462666000001,882,98,-333.6123046875,150.0,0.05121111869812012
584,174998,87600,0.002404511673375964,470.92767693999997,888,98,-333.526123046875,150.0,0.049038417637348175
588,176198,88200,0.002355678007006645,470.84773152,894,98,-333.44720458984375,150.0,0.0469822958111763
592,177398,88800,0.002328057074919343,470.6170750200001,900,98,-332.769775390625,150.0,0.04599470645189285
596,178598,89400,0.0023427330888807774,470.9985903499999,906,98,-333.01287841796875,150.0,0.0505581758916378
600,179798,90000,0.00235352898016572,471.00037881,912,98,-333.4122314453125,150.0,0.04748867079615593
604,180998,90600,0.0024245555978268385,470.87663942,918,98,-333.115478515625,150.0,0.05246317386627197
608,182198,91200,0.002475809771567583,470.75943208999996,924,98,-333.37188720703125,150.0,0.04954227805137634
612,183398,91800,0.0024056495167315006,471.1791240600001,930,98,-333.02435302734375,150.0,0.05117817968130112
616,184598,92400,0.0023678112775087357,471.58774293000005,936,98,-333.6884460449219,150.0,0.04552873224020004
620,185798,93000,0.0023518349044024944,471.69791122999993,942,98,-333.23291015625,150.0,0.04877062514424324
624,186998,93600,0.0024581141769886017,471.40960374,948,98,-333.261962890625,150.0,0.05346425622701645
628,188198,94200,0.002264958107843995,471.45028227,954,98,-333.0184631347656,150.0,0.04748273268342018
632,189398,94800,0.00228453753516078,471.39938218000003,960,98,-333.1770935058594,150.0,0.05006526783108711
636,190598,95400,0.002258588559925556,471.09829524,966,98,-332.6601867675781,150.0,0.047066882252693176
640,191798,96000,0.0023093486670404673,471.36412962999987,972,98,-333.62860107421875,150.0,0.04477996379137039
644,192998,96600,0.0023139130789786577,471.98142357999996,978,98,-332.99676513671875,150.0,0.04542979970574379
648,194198,97200,0.002269703196361661,472.02380795,984,98,-333.0113525390625,150.0,0.06308574974536896
652,195398,97800,0.002253368031233549,472.3000934,990,98,-332.69158935546875,150.0,0.04547964036464691
656,196598,98400,0.0022049779072403908,472.79349259,995,98,-332.7782287597656,150.0,0.044561684131622314
660,197798,99000,0.0022129875142127275,473.17960711000006,1001,98,-332.887939453125,150.0,0.043947722762823105
664,198998,99600,0.0023357225582003593,473.3401026399999,1007,98,-333.3925476074219,150.0,0.05443548411130905
668,200198,100200,0.0023882207460701466,472.59614087,1014,98,-333.07696533203125,150.0,0.051121607422828674
672,201398,100800,0.002463624347001314,472.61223949,1020,98,-333.00799560546875,150.0,0.06220206990838051
676,202598,101400,0.0023291974794119596,472.36702704,1026,98,-333.03924560546875,150.0,0.06348726153373718
680,203798,102000,0.002273827325552702,472.1034742400001,1032,98,-333.0517883300781,150.0,0.04701029881834984
684,204998,102600,0.0022139097563922405,472.10814455,1038,98,-332.7376708984375,150.0,0.0523783378303051
688,206198,103200,0.0022049096878618,472.2380815499999,1044,98,-332.9786071777344,150.0,0.04077254235744476
692,207398,103800,0.002189852762967348,472.77329676,1051,98,-333.1597900390625,150.0,0.051306258887052536
696,208598,104400,0.0022528222762048244,473.51736927999997,1057,98,-332.9302673339844,150.0,0.04874406382441521
700,209798,105000,0.002224692376330495,473.88040443,1063,98,-332.9730529785156,150.0,0.04614223912358284
704,210998,105600,0.0021610299590975046,474.2358348200001,1069,98,-332.683349609375,150.0,0.04766620695590973
708,212198,106200,0.0022068850230425596,474.39660438000004,1075,98,-333.2837219238281,150.0,0.046730998903512955
712,213398,106800,0.002263659378513694,474.45575109000004,1081,98,-333.36431884765625,150.0,0.052903324365615845
716,214598,107400,0.002198050497099757,474.46522559,1088,98,-333.264892578125,150.0,0.05024493858218193
720,215798,108000,0.0021990390960127115,474.8935151200001,1094,98,-333.158203125,150.0,0.04455409198999405
724,216998,108600,0.002160110045224428,475.56535541000005,1100,98,-333.6648864746094,150.0,0.04085853323340416
728,218198,109200,0.0021801996044814587,475.82091452000003,1106,98,-333.2987060546875,150.0,0.04926304891705513
732,219398,109800,0.0021455567330121994,476.23811007999996,1112,98,-333.54681396484375,150.0,0.04545429348945618
736,220598,110400,0.002198439324274659,476.6645522500001,1118,98,-333.33319091796875,150.0,0.04778816178441048
740,221798,111000,0.0021419574040919542,476.67926083,1124,98,-333.4569091796875,150.0,0.046743813902139664
744,222998,111600,0.0020858249627053738,476.65330242000005,1130,98,-333.4049377441406,150.0,0.04421033337712288
748,224198,112200,0.0021046760957688093,476.7755319800001,1136,98,-333.228759765625,150.0,0.04909364879131317
752,225398,112800,0.002088080160319805,476.68716216000007,1142,98,-333.1451416015625,150.0,0.04914296790957451
756,226598,113400,0.002116784919053316,476.6395195,1148,98,-333.4878234863281,150.0,0.04903244227170944
760,227798,114000,0.0023596195969730616,476.12556781000006,1154,98,-333.143798828125,150.0,0.05798886716365814
764,228998,114600,0.0021665459498763084,475.67632665,1160,98,-333.178466796875,150.0,0.04640275612473488
768,230198,115200,0.0020860061049461365,476.82131617999994,1166,98,-333.43206787109375,150.0,0.04826156795024872
772,231398,115800,0.0020885958801954985,477.4476281899999,1172,98,-333.2157287597656,150.0,0.0434051975607872
776,232598,116400,0.0020838805940002203,477.75045668999996,1178,98,-333.3222961425781,150.0,0.04912353679537773
780,233798,117000,0.0020817811600863934,477.82063716000005,1184,98,-333.33441162109375,150.0,0.05110301077365875
784,234998,117600,0.0021117469295859337,478.37848187,1190,98,-333.6510009765625,150.0,0.04617400839924812
788,236198,118200,0.002170014660805464,478.7544515099999,1197,98,-333.7376708984375,150.0,0.05506857484579086
792,237398,118800,0.0021478147245943546,478.49980813999997,1203,98,-333.609130859375,150.0,0.048013411462306976
796,238598,119400,0.0021086852066218853,477.92773256999993,1209,98,-333.4861755371094,150.0,0.04462623968720436
800,239798,120000,0.002031720010563731,478.01412597999996,1215,98,-333.6301574707031,150.0,0.0451558455824852
804,240998,120600,0.0019808649085462093,478.23992341999997,1221,98,-333.876220703125,150.0,0.041195061057806015
808,242198,121200,0.0019852817058563232,478.8370134,1227,98,-333.84063720703125,150.0,0.042624544352293015
812,243398,121800,0.0020249176304787397,478.97961523999993,1233,98,-333.45721435546875,150.0,0.04817425459623337
816,244598,122400,0.001998782390728593,479.34146347999996,1239,98,-333.70257568359375,150.0,0.037641119211912155
820,245798,123000,0.0019907362293452024,479.40875649999987,1246,98,-334.0590515136719,150.0,0.03892415761947632
824,246998,123600,0.00198475643992424,479.81373113999996,1252,98,-333.67926025390625,150.0,0.040304429829120636
828,248198,124200,0.0020018690265715122,480.14963126000004,1258,98,-333.7360534667969,150.0,0.043940410017967224
832,249398,124800,0.0020490752067416906,480.2212429300001,1264,98,-333.289306640625,150.0,0.04748859256505966
836,250598,125400,0.0020089547615498304,480.47970461000006,1270,98,-333.74603271484375,150.0,0.04495498165488243
840,251798,126000,0.002025224966928363,480.55057591,1276,98,-333.84063720703125,150.0,0.04022064805030823
844,252998,126600,0.0019416975555941463,480.76815611999996,1282,98,-333.48175048828125,150.0,0.04153446853160858
848,254198,127200,0.001975517487153411,481.18667390999997,1288,98,-334.0060729980469,150.0,0.0350656658411026
852,255398,127800,0.001993244979530573,481.45798959,1294,98,-334.0145263671875,150.0,0.03909697383642197
856,256598,128400,0.001974618062376976,481.8274689099999,1300,98,-334.2086486816406,150.0,0.04082591086626053
860,257798,129000,0.002010294469073415,482.34962505,1306,98,-333.8800048828125,150.0,0.0413767546415329
864,258998,129600,0.002029168652370572,483.01615775,1312,98,-333.9647216796875,150.0,0.042926039546728134
868,260198,130200,0.002076165284961462,483.01593294000014,1318,98,-334.2109375,150.0,0.04499375447630882
872,261398,130800,0.0020584443118423223,483.05304535000005,1324,98,-334.0564880371094,150.0,0.053742386400699615
876,262598,131400,0.002117700641974807,483.15207304,1330,98,-333.7636413574219,150.0,0.0660921037197113
880,263798,132000,0.0021454687230288982,483.42636548,1336,98,-334.24658203125,150.0,0.04373953863978386
884,264998,132600,0.002105274237692356,483.0160427900001,1342,98,-333.86688232421875,150.0,0.043373242020606995
888,266198,133200,0.00197335216216743,482.4510352499999,1348,98,-334.23211669921875,150.0,0.03875106945633888
892,267398,133800,0.0019157700007781386,482.49170203999995,1354,98,-334.18939208984375,150.0,0.03794713690876961
896,268598,134400,0.001921095885336399,482.87002751000006,1360,98,-334.358154296875,150.0,0.04112052544951439
900,269798,135000,0.0019452673150226474,482.9389710000001,1366,98,-333.9916076660156,150.0,0.043740514665842056
904,270998,135600,0.00197800574824214,482.88414844,1372,98,-334.58929443359375,150.0,0.03523538261651993
908,272198,136200,0.0019575387705117464,482.68938497999994,1378,98,-334.4892578125,150.0,0.035340890288352966
912,273398,136800,0.0019649220630526543,482.9067224000001,1384,98,-334.35675048828125,150.0,0.04195984825491905
916,274598,137400,0.001967413118109107,483.0127772799999,1390,98,-334.524169921875,150.0,0.04086829721927643
920,275798,138000,0.0019472219282761216,483.0571587,1396,98,-334.8822021484375,150.0,0.03650561720132828
924,276998,138600,0.0019033447606489062,482.70469097000006,1402,98,-334.8125915527344,150.0,0.04113536328077316
928,278198,139200,0.0020485094282776117,482.38408473999993,1409,98,-334.89947509765625,150.0,0.05876806005835533
932,279398,139800,0.00206280080601573,482.1742200400001,1415,98,-334.5753173828125,150.0,0.048643726855516434
936,280598,140400,0.0019854665733873844,482.10350384000003,1421,98,-334.6004333496094,150.0,0.039631813764572144
940,281798,141000,0.00193177186883986,482.10286148000006,1427,98,-334.54949951171875,150.0,0.045577120035886765
944,282998,141600,0.0018797696102410555,482.07039847,1433,98,-335.21319580078125,150.0,0.0356483981013298
948,284198,142200,0.0018543603364378214,482.02956755999986,1439,98,-334.7544250488281,150.0,0.03773411363363266
952,285398,142800,0.0018123674672096968,482.35825659999995,1445,98,-335.2532958984375,150.0,0.04098769649863243
