train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
1341998,438.9451501000001,99,2737,271200,0.02354661375284195,-297.1180725097656,0.00190361263230443,150.0,1808
1343198,438.7849603000001,99,2743,271800,0.025561105459928513,-297.5975036621094,0.0018834329675883055,150.0,1812
1344398,438.94996388,99,2749,272400,0.0244604405015707,-297.6448059082031,0.0018999254098162055,150.0,1816
1345598,439.24079842,99,2755,273000,0.028089629486203194,-297.2623291015625,0.0019132093293592334,150.0,1820
1346798,439.27854003999994,99,2761,273600,0.023630881682038307,-298.9660339355469,0.0019349873764440417,150.0,1824
1347998,439.0904616799999,99,2767,274200,0.02666778489947319,-298.300537109375,0.001925442018546164,150.0,1828
1349198,438.98492993,99,2774,274800,0.02774307318031788,-298.4029235839844,0.0018995240097865462,150.0,1832
1350398,438.9916670300001,99,2780,275400,0.02387872338294983,-297.78765869140625,0.001931255217641592,150.0,1836
1351598,439.06388186,99,2786,276000,0.027741175144910812,-298.5848083496094,0.0019306851318106055,150.0,1840
1352798,439.07429318000004,99,2792,276600,0.025337593629956245,-299.548583984375,0.0019253144273534417,150.0,1844
1353998,439.09701358000007,99,2798,277200,0.025577956810593605,-298.6981506347656,0.0019201471004635096,150.0,1848
1355198,438.27610132,99,2804,277800,0.023569921031594276,-298.5374450683594,0.001929268823005259,150.0,1852
1356398,438.3993709,99,2810,278400,0.0253377053886652,-298.54998779296875,0.001953652361407876,150.0,1856
1357598,438.6289905000001,99,2817,279000,0.027267510071396828,-298.21417236328125,0.0019226548029109836,150.0,1860
1358798,439.26498780000003,99,2823,279600,0.03368353843688965,-298.1294860839844,0.001932922750711441,150.0,1864
1359998,439.5280244300001,99,2829,280200,0.028479017317295074,-298.2621765136719,0.00191576371435076,150.0,1868
1361198,439.60207463,99,2835,280800,0.02763214334845543,-298.77093505859375,0.0019279014086350799,150.0,1872
1362398,439.8222430300001,99,2841,281400,0.022090468555688858,-299.3382568359375,0.0019222203409299254,150.0,1876
1363598,440.09157646999984,99,2847,282000,0.02583231031894684,-299.2734680175781,0.001938231522217393,150.0,1880
1364798,440.34342828,99,2853,282600,0.02486744523048401,-299.52142333984375,0.0019189700251445174,150.0,1884
1365998,440.38019117000005,99,2859,283200,0.025579366832971573,-298.8114929199219,0.0019508780678734183,150.0,1888
1367198,440.73126937,99,2865,283800,0.02881210297346115,-298.6324768066406,0.001958215609192848,150.0,1892
1368398,441.21507271,99,2871,284400,0.02640051208436489,-299.9392395019531,0.001943326904438436,150.0,1896
1369598,441.29805762999996,99,2877,285000,0.028272977098822594,-299.6483459472656,0.001966509036719799,150.0,1900
1370798,441.65729039000007,99,2884,285600,0.02539295144379139,-299.8536376953125,0.001928680227138102,150.0,1904
1371998,441.79131197000004,99,2890,286200,0.021615827456116676,-299.71942138671875,0.0019414301495999098,150.0,1908
1373198,442.31222443,99,2896,286800,0.026497427374124527,-299.69921875,0.0019346580374985933,150.0,1912
1374398,442.43225815000005,99,2902,287400,0.02578836865723133,-299.75738525390625,0.0019702278077602386,150.0,1916
1375598,442.49885884,99,2908,288000,0.030526621267199516,-300.8385314941406,0.0019647686276584864,150.0,1920
1376798,442.70532045,99,2914,288600,0.028359202668070793,-299.8935546875,0.0019726059399545193,150.0,1924
1377998,443.27327476,99,2920,289200,0.030155427753925323,-300.1470031738281,0.0019653101917356253,150.0,1928
1379198,443.59891166999995,99,2926,289800,0.034194450825452805,-300.42034912109375,0.0019695863593369722,150.0,1932
1380398,443.59757670999994,99,2932,290400,0.03290805220603943,-299.98956298828125,0.0019521231297403574,150.0,1936
1381598,443.60161542000003,99,2938,291000,0.03005068562924862,-300.426513671875,0.0019802178721874952,150.0,1940
1382798,443.73937764000004,99,2945,291600,0.034079261124134064,-301.1187744140625,0.001984263537451625,150.0,1944
1383998,443.9042483900001,99,2951,292200,0.031033555045723915,-299.78717041015625,0.0019721246790140867,150.0,1948
1385198,444.7473978400001,99,2957,292800,0.028147907927632332,-300.377197265625,0.001988693606108427,150.0,1952
1386398,444.64414731000005,99,2963,293400,0.02853834070265293,-300.83013916015625,0.002000014064833522,150.0,1956
1387598,444.8397921800001,99,2969,294000,0.03257669880986214,-300.84576416015625,0.002004759619012475,150.0,1960
1388798,444.77513944,99,2975,294600,0.03149844706058502,-300.8463439941406,0.0019857247825711966,150.0,1964
1389998,444.9189332499999,99,2981,295200,0.025398755446076393,-301.0409851074219,0.0019866558723151684,150.0,1968
1391198,445.01108908999987,99,2987,295800,0.025416605174541473,-300.8778381347656,0.0019900882616639137,150.0,1972
1392398,445.0728595500001,99,2993,296400,0.02903844229876995,-300.89520263671875,0.001980867702513933,150.0,1976
1393598,444.95622729999997,99,2999,297000,0.033147502690553665,-300.82257080078125,0.002000301145017147,150.0,1980
1394798,445.0875070999999,99,3005,297600,0.030175019055604935,-300.68109130859375,0.0020158225670456886,150.0,1984
1395998,445.42374080999997,99,3011,298200,0.031969670206308365,-302.0343933105469,0.001993109006434679,150.0,1988
1397198,445.41198226999995,99,3017,298800,0.03404911607503891,-301.3612060546875,0.00202186219394207,150.0,1992
1398398,445.28029728999996,99,3023,299400,0.031225096434354782,-301.982666015625,0.0020073058549314737,150.0,1996
1399598,445.27041748999994,99,3029,300000,0.0477190725505352,-302.4894104003906,0.002124576363712549,150.0,2000
1400798,444.61873015,99,3035,300600,0.04443252831697464,-302.36346435546875,0.0022060442715883255,150.0,2004
1401998,444.17308613,99,3041,301200,0.034433864057064056,-302.5660400390625,0.0020310846157372,150.0,2008
1403198,444.23754441000005,99,3048,301800,0.03360142558813095,-302.0865478515625,0.0019809205550700426,150.0,2012
1404398,444.38271037,99,3054,302400,0.03365631029009819,-302.04193115234375,0.0020074571948498487,150.0,2016
1405598,444.4704749299999,99,3060,303000,0.031195132061839104,-301.9742736816406,0.002005215734243393,150.0,2020
1406798,444.53772611,98,3066,303600,0.03091445006430149,-302.5003356933594,0.0019977951887995005,150.0,2024
1407998,444.4896039099999,98,3072,304200,0.02791355364024639,-302.564208984375,0.002009529620409012,150.0,2028
